id_servicios,id_cuenta,codigo,descripcion_servicio
"24733","9578",S19,MANT. PARQUES Y ZONAS VERDES
"24734","9578",S20,LIMPIEZA DE VIAS
"24735","9579",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24736","9579",S11,BASURA RESIDENCIAL R3
"24737","9579",S19,MANT. PARQUES Y ZONAS VERDES
"24738","9579",S20,LIMPIEZA DE VIAS
"24750","9583",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24751","9583",S11,BASURA RESIDENCIAL R3
"24752","9583",S20,LIMPIEZA DE VIAS
"24753","9583",S19,MANT. PARQUES Y ZONAS VERDES
"24754","9584",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24755","9584",S11,BASURA RESIDENCIAL R3
"24756","9584",S19,MANT. PARQUES Y ZONAS VERDES
"24757","9584",S20,LIMPIEZA DE VIAS
"24758","9585",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24759","9586",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24760","9586",S11,BASURA RESIDENCIAL R3
"24761","9586",S19,MANT. PARQUES Y ZONAS VERDES
"24762","9586",S20,LIMPIEZA DE VIAS
"24763","9587",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24764","9587",S11,BASURA RESIDENCIAL R3
"24765","9587",S19,MANT. PARQUES Y ZONAS VERDES
"24766","9587",S20,LIMPIEZA DE VIAS
"24775","9591",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24776","9591",S11,BASURA RESIDENCIAL R3
"24777","9591",S19,MANT. PARQUES Y ZONAS VERDES
"24778","9591",S20,LIMPIEZA DE VIAS
"24779","9592",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24780","9593",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24781","9593",S11,BASURA RESIDENCIAL R3
"24782","9593",S19,MANT. PARQUES Y ZONAS VERDES
"24783","9593",S20,LIMPIEZA DE VIAS
"24784","9594",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24785","9594",S11,BASURA RESIDENCIAL R3
"24786","9594",S19,MANT. PARQUES Y ZONAS VERDES
"24787","9594",S20,LIMPIEZA DE VIAS
"24788","9595",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24789","9596",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24790","9596",S10,BASURA RESIDENCIAL R2
"24791","9596",S19,MANT. PARQUES Y ZONAS VERDES
"24792","9596",S20,LIMPIEZA DE VIAS
"24793","9597",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24794","9597",S11,BASURA RESIDENCIAL R3
"24795","9597",S19,MANT. PARQUES Y ZONAS VERDES
"24796","9597",S20,LIMPIEZA DE VIAS
"24797","9598",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24798","9598",S11,BASURA RESIDENCIAL R3
"24799","9598",S19,MANT. PARQUES Y ZONAS VERDES
"24800","9598",S20,LIMPIEZA DE VIAS
"24801","9599",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24802","9599",S11,BASURA RESIDENCIAL R3
"24803","9599",S19,MANT. PARQUES Y ZONAS VERDES
"24804","9599",S20,LIMPIEZA DE VIAS
"24805","9600",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24806","9600",S11,BASURA RESIDENCIAL R3
"24807","9600",S19,MANT. PARQUES Y ZONAS VERDES
"24808","9600",S20,LIMPIEZA DE VIAS
"24809","9601",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24810","9601",S19,MANT. PARQUES Y ZONAS VERDES
"24811","9601",S20,LIMPIEZA DE VIAS
"24812","9601",S11,BASURA RESIDENCIAL R3
"24813","9602",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24814","9602",S11,BASURA RESIDENCIAL R3
"24815","9602",S19,MANT. PARQUES Y ZONAS VERDES
"24816","9602",S20,LIMPIEZA DE VIAS
"24817","9603",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24818","9603",S11,BASURA RESIDENCIAL R3
"24819","9603",S19,MANT. PARQUES Y ZONAS VERDES
"24820","9603",S20,LIMPIEZA DE VIAS
"24821","9604",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24822","9604",S19,MANT. PARQUES Y ZONAS VERDES
"24823","9604",S20,LIMPIEZA DE VIAS
"24824","9604",S11,BASURA RESIDENCIAL R3
"24825","9605",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24826","9605",S10,BASURA RESIDENCIAL R2
"24827","9605",S20,LIMPIEZA DE VIAS
"24828","9605",S19,MANT. PARQUES Y ZONAS VERDES
"24829","9606",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24830","9606",S11,BASURA RESIDENCIAL R3
"24831","9606",S19,MANT. PARQUES Y ZONAS VERDES
"24832","9606",S20,LIMPIEZA DE VIAS
"24833","9607",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24834","9607",S11,BASURA RESIDENCIAL R3
"24835","9607",S19,MANT. PARQUES Y ZONAS VERDES
