id_servicios,id_cuenta,codigo,descripcion_servicio
"23796","9230",S20,LIMPIEZA DE VIAS
"23797","9231",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23798","9231",S11,BASURA RESIDENCIAL R3
"23799","9231",S19,MANT. PARQUES Y ZONAS VERDES
"23800","9231",S20,LIMPIEZA DE VIAS
"23801","9233",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23802","9233",S11,BASURA RESIDENCIAL R3
"23803","9233",S19,MANT. PARQUES Y ZONAS VERDES
"23804","9233",S20,LIMPIEZA DE VIAS
"23805","9234",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23806","9234",S11,BASURA RESIDENCIAL R3
"23807","9234",S20,LIMPIEZA DE VIAS
"23808","9234",S19,MANT. PARQUES Y ZONAS VERDES
"23809","9235",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23810","9235",S11,BASURA RESIDENCIAL R3
"23811","9235",S19,MANT. PARQUES Y ZONAS VERDES
"23812","9235",S20,LIMPIEZA DE VIAS
"23817","9240",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23818","9240",S19,MANT. PARQUES Y ZONAS VERDES
"23819","9240",S20,LIMPIEZA DE VIAS
"23820","9240",S11,BASURA RESIDENCIAL R3
"23821","9241",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23822","9241",S11,BASURA RESIDENCIAL R3
"23823","9241",S19,MANT. PARQUES Y ZONAS VERDES
"23824","9241",S20,LIMPIEZA DE VIAS
"23825","9242",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23826","9242",S11,BASURA RESIDENCIAL R3
"23827","9242",S20,LIMPIEZA DE VIAS
"23828","9242",S19,MANT. PARQUES Y ZONAS VERDES
"23829","9243",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23830","9243",S11,BASURA RESIDENCIAL R3
"23831","9243",S19,MANT. PARQUES Y ZONAS VERDES
"23832","9243",S20,LIMPIEZA DE VIAS
"23833","9246",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23834","9246",S11,BASURA RESIDENCIAL R3
"23835","9246",S19,MANT. PARQUES Y ZONAS VERDES
"23836","9246",S20,LIMPIEZA DE VIAS
"23837","9247",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23838","9247",S11,BASURA RESIDENCIAL R3
"23839","9247",S19,MANT. PARQUES Y ZONAS VERDES
"23840","9247",S20,LIMPIEZA DE VIAS
"23841","9248",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23842","9248",S11,BASURA RESIDENCIAL R3
"23843","9248",S19,MANT. PARQUES Y ZONAS VERDES
"23844","9248",S20,LIMPIEZA DE VIAS
"23845","9250",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23846","9250",S11,BASURA RESIDENCIAL R3
"23847","9250",S19,MANT. PARQUES Y ZONAS VERDES
"23848","9250",S20,LIMPIEZA DE VIAS
"23849","9253",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23850","9253",S11,BASURA RESIDENCIAL R3
"23851","9253",S19,MANT. PARQUES Y ZONAS VERDES
"23852","9253",S20,LIMPIEZA DE VIAS
"23853","9254",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23854","9254",S11,BASURA RESIDENCIAL R3
"23855","9254",S19,MANT. PARQUES Y ZONAS VERDES
"23856","9254",S20,LIMPIEZA DE VIAS
"23857","9255",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23858","9255",S11,BASURA RESIDENCIAL R3
"23859","9255",S19,MANT. PARQUES Y ZONAS VERDES
"23860","9255",S20,LIMPIEZA DE VIAS
"23861","9256",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23862","9256",S11,BASURA RESIDENCIAL R3
"23863","9256",S19,MANT. PARQUES Y ZONAS VERDES
"23864","9256",S20,LIMPIEZA DE VIAS
"23865","9258",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23866","9258",S11,BASURA RESIDENCIAL R3
"23867","9258",S19,MANT. PARQUES Y ZONAS VERDES
"23868","9258",S20,LIMPIEZA DE VIAS
"23869","9259",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23870","9264",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23871","9264",S11,BASURA RESIDENCIAL R3
"23872","9264",S19,MANT. PARQUES Y ZONAS VERDES
"23873","9264",S20,LIMPIEZA DE VIAS
"23874","9266",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23875","9266",S11,BASURA RESIDENCIAL R3
"23876","9266",S19,MANT. PARQUES Y ZONAS VERDES
"23877","9266",S20,LIMPIEZA DE VIAS
"23882","9268",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23883","9268",S11,BASURA RESIDENCIAL R3
"23884","9268",S19,MANT. PARQUES Y ZONAS VERDES
"23885","9268",S20,LIMPIEZA DE VIAS
"23890","9270",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23891","9270",S11,BASURA RESIDENCIAL R3
"23892","9270",S19,MANT. PARQUES Y ZONAS VERDES
"23893","9270",S20,LIMPIEZA DE VIAS
"23898","9272",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23899","9272",S11,BASURA RESIDENCIAL R3
"23900","9272",S19,MANT. PARQUES Y ZONAS VERDES
"23901","9272",S20,LIMPIEZA DE VIAS
"23906","9277",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23907","9277",S11,BASURA RESIDENCIAL R3
"23908","9277",S19,MANT. PARQUES Y ZONAS VERDES
"23909","9277",S20,LIMPIEZA DE VIAS
"23910","9279",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23911","9279",S11,BASURA RESIDENCIAL R3
"23912","9279",S19,MANT. PARQUES Y ZONAS VERDES
"23913","9279",S20,LIMPIEZA DE VIAS
"23914","9280",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23915","9280",S11,BASURA RESIDENCIAL R3
"23916","9280",S19,MANT. PARQUES Y ZONAS VERDES
"23917","9280",S20,LIMPIEZA DE VIAS
"23918","9283",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23919","9283",S11,BASURA RESIDENCIAL R3
"23920","9283",S19,MANT. PARQUES Y ZONAS VERDES
"23921","9283",S20,LIMPIEZA DE VIAS
"23922","9284",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23923","9284",S11,BASURA RESIDENCIAL R3
"23924","9284",S19,MANT. PARQUES Y ZONAS VERDES
"23925","9284",S20,LIMPIEZA DE VIAS
"23926","9285",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23927","9285",S11,BASURA RESIDENCIAL R3
"23928","9285",S19,MANT. PARQUES Y ZONAS VERDES
"23929","9285",S20,LIMPIEZA DE VIAS
"24348","9441",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24349","9441",S11,BASURA RESIDENCIAL R3
"24350","9441",S19,MANT. PARQUES Y ZONAS VERDES
"24351","9441",S20,LIMPIEZA DE VIAS
"24532","9517",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24533","9517",S11,BASURA RESIDENCIAL R3
"24534","9517",S19,MANT. PARQUES Y ZONAS VERDES
"24535","9517",S20,LIMPIEZA DE VIAS
"24536","9518",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24537","9518",S12,BASURA RESIDENCIAL R4
"24538","9518",S13,BASURA COMERCIAL C1
"24539","9518",S19,MANT. PARQUES Y ZONAS VERDES
"24540","9518",S20,LIMPIEZA DE VIAS
"24541","9519",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24542","9519",S11,BASURA RESIDENCIAL R3
"24543","9519",S19,MANT. PARQUES Y ZONAS VERDES
"24544","9519",S20,LIMPIEZA DE VIAS
"24545","9520",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24546","9520",S11,BASURA RESIDENCIAL R3
"24547","9520",S19,MANT. PARQUES Y ZONAS VERDES
"24548","9520",S20,LIMPIEZA DE VIAS
"24550","9522",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"24551","9522",S11,BASURA RESIDENCIAL R3
"24552","9522",S19,MANT. PARQUES Y ZONAS VERDES
"24553","9522",S20,LIMPIEZA DE VIAS
